participant_id,session_id,repetition_id,label,timestamp_ms,ax,ay,az,gx,gy,gz
septian,S1,R1,idle,48906,0.9968,0.0076,0.0696,23.0915,-131.6399,-35.5437
septian,S1,R1,idle,48908,0.9942,0.0077,0.0702,23.45,-122.6334,-38.6268
septian,S1,R1,idle,48911,0.9917,0.0078,0.0709,23.7737,-114.1562,-41.7214
septian,S1,R1,idle,48913,0.9892,0.0079,0.0715,24.067,-106.6592,-44.7436
septian,S1,R1,idle,48922,0.9866,0.0081,0.0721,24.2206,-96.4053,-47.5051
septian,S1,R1,idle,48932,0.9842,0.0085,0.0728,24.308,-82.7424,-48.9073
septian,S1,R1,idle,48942,0.9823,0.009,0.0738,24.3227,-66.1228,-48.3362
septian,S1,R1,idle,48952,0.9806,0.0093,0.0749,24.2256,-48.5616,-46.0512
septian,S1,R1,idle,48962,0.9791,0.0094,0.0759,24.0043,-32.5147,-42.4548
septian,S1,R1,idle,48972,0.9778,0.0095,0.0768,23.6546,-20.2127,-38.1227
septian,S1,R1,idle,48982,0.9767,0.0096,0.0777,23.1601,-12.8477,-33.5031
septian,S1,R1,idle,48992,0.9757,0.0095,0.0786,22.5255,-10.128,-28.6862
septian,S1,R1,idle,49002,0.9748,0.0093,0.0794,21.7529,-10.5564,-24.4976
septian,S1,R1,idle,49012,0.9737,0.0091,0.08,20.839,-12.6253,-21.7118
septian,S1,R1,idle,49022,0.9725,0.0092,0.0808,19.7408,-15.2014,-20.5555
septian,S1,R1,idle,49032,0.9713,0.0094,0.0815,18.4202,-17.0441,-19.6772
septian,S1,R1,idle,49042,0.9703,0.0096,0.0821,16.9704,-18.2154,-17.4962
septian,S1,R1,idle,49052,0.9693,0.0097,0.0827,15.4288,-19.2953,-14.6463
septian,S1,R1,idle,49062,0.9681,0.0098,0.0831,13.7175,-20.2638,-11.9032
septian,S1,R1,idle,49072,0.9668,0.0099,0.0833,11.8577,-20.8596,-9.2463
septian,S1,R1,idle,49082,0.9654,0.0099,0.0835,10.038,-20.9737,-6.5808
septian,S1,R1,idle,49092,0.9641,0.0099,0.0837,8.363,-20.6384,-4.3173
septian,S1,R1,idle,49102,0.9627,0.0097,0.0838,6.735,-20.0841,-3.2218
septian,S1,R1,idle,49112,0.9611,0.0096,0.0839,5.0893,-19.3551,-3.3269
septian,S1,R1,idle,49122,0.9594,0.0095,0.0839,3.4259,-18.4191,-4.2613
septian,S1,R1,idle,49132,0.9577,0.0094,0.0838,1.6569,-17.2925,-5.7684
septian,S1,R1,idle,49142,0.9558,0.0093,0.0837,-0.2241,-15.996,-7.5219
septian,S1,R1,idle,49152,0.9537,0.0092,0.0836,-2.1827,-14.4843,-9.2977
septian,S1,R1,idle,49162,0.9513,0.009,0.0833,-4.2535,-12.5325,-11.0286
septian,S1,R1,idle,49172,0.9488,0.0088,0.0831,-6.4218,-9.8515,-12.852
