participant_id,session_id,repetition_id,label,timestamp_ms,ax,ay,az,gx,gy,gz
septian,S1,R1,lift,45506,0.0862,0.0076,-0.2704,-0.7557,16.2557,-4.1145
septian,S1,R1,lift,45509,0.1149,0.0101,-0.3607,-1.0089,22.2313,-5.5231
septian,S1,R1,lift,45511,0.1293,0.0114,-0.4058,-1.1354,25.1553,-6.2237
septian,S1,R1,lift,45513,0.1379,0.0121,-0.4329,-1.2111,26.8487,-6.6406
septian,S1,R1,lift,45522,0.1441,0.0127,-0.4475,-1.3987,29.9108,-6.7705
septian,S1,R1,lift,45532,0.1505,0.0126,-0.4545,-1.7029,33.9034,-6.5566
septian,S1,R1,lift,45542,0.1559,0.0127,-0.4581,-2.1045,38.577,-6.133
septian,S1,R1,lift,45552,0.16,0.0132,-0.4594,-2.5333,43.8507,-5.6498
septian,S1,R1,lift,45562,0.1646,0.013,-0.4605,-2.9252,49.7433,-5.1712
septian,S1,R1,lift,45572,0.1693,0.0117,-0.4599,-3.1726,56.1879,-4.8255
septian,S1,R1,lift,45582,0.1747,0.0075,-0.4574,-3.2366,62.8528,-4.7623
septian,S1,R1,lift,45592,0.1819,0.001,-0.4537,-3.1498,69.2532,-5.3144
septian,S1,R1,lift,45602,0.1895,-0.0054,-0.448,-3.0362,74.7435,-6.8112
septian,S1,R1,lift,45612,0.1965,-0.0085,-0.4401,-3.0304,78.9916,-9.3115
septian,S1,R1,lift,45622,0.2037,-0.0066,-0.4312,-3.2855,82.6342,-12.5696
septian,S1,R1,lift,45632,0.2138,-0.0019,-0.4229,-3.8489,86.5955,-15.5146
septian,S1,R1,lift,45642,0.2266,0.0037,-0.4144,-4.6673,91.2059,-17.1021
septian,S1,R1,lift,45652,0.2409,0.0085,-0.4047,-5.5948,96.2915,-16.8276
septian,S1,R1,lift,45662,0.2577,0.0113,-0.3945,-6.4593,101.2821,-15.2771
septian,S1,R1,lift,45672,0.277,0.0106,-0.3845,-7.1336,105.3797,-13.2909
septian,S1,R1,lift,45682,0.2982,0.0075,-0.3745,-7.6083,107.8867,-11.6924
