participant_id,session_id,repetition_id,label,timestamp_ms,ax,ay,az,gx,gy,gz
septian,S1,R1,push,54012,0.4242,0.0513,0.4208,10.9182,100.7578,78.0253
septian,S1,R1,push,54022,0.4234,0.0511,0.4164,10.7897,109.408,82.2247
septian,S1,R1,push,54032,0.423,0.0507,0.4121,10.9402,117.3736,85.9382
septian,S1,R1,push,54042,0.4229,0.0504,0.4072,11.1109,123.2554,88.8467
septian,S1,R1,push,54052,0.4227,0.0502,0.4022,11.1004,127.7893,90.7066
septian,S1,R1,push,54062,0.4227,0.0502,0.3972,11.0125,132.6273,91.7397
septian,S1,R1,push,54072,0.4233,0.05,0.3926,11.1769,139.1813,93.1015
septian,S1,R1,push,54106,0.4244,0.0499,0.3884,10.8748,139.9844,89.5382
septian,S1,R1,push,54108,0.4255,0.0498,0.3842,10.5907,140.5787,86.1601
septian,S1,R1,push,54111,0.4266,0.0496,0.3801,10.3233,141.0346,83.0371
septian,S1,R1,push,54113,0.4277,0.0495,0.3759,10.0718,141.3943,80.209
septian,S1,R1,push,54122,0.4287,0.0493,0.3719,9.8423,141.9357,78.7379
septian,S1,R1,push,54132,0.4298,0.049,0.3683,9.8234,143.4832,78.0404
septian,S1,R1,push,54142,0.4313,0.0487,0.3649,9.9129,145.7147,76.9742
septian,S1,R1,push,54152,0.4329,0.0484,0.3618,10.1107,148.124,75.685
septian,S1,R1,push,54162,0.4348,0.048,0.3588,10.3779,150.3208,74.0405
septian,S1,R1,push,54172,0.4368,0.0478,0.3558,10.694,152.0706,71.9204
septian,S1,R1,push,54182,0.4391,0.0475,0.3528,11.0781,153.3719,69.5291
septian,S1,R1,push,54192,0.4415,0.0471,0.3498,11.5252,154.1319,67.0028
septian,S1,R1,push,54202,0.4443,0.0468,0.3469,11.9965,154.1519,64.3835
septian,S1,R1,push,54212,0.4472,0.0464,0.3439,12.4305,153.3418,61.7843
septian,S1,R1,push,54222,0.4504,0.046,0.3407,12.7381,151.5892,59.0983
septian,S1,R1,push,54232,0.4538,0.0455,0.3376,12.7695,148.6113,55.6776
septian,S1,R1,push,54242,0.4574,0.0451,0.3345,12.4724,143.7507,51.0654
septian,S1,R1,push,54252,0.4611,0.0448,0.3314,11.8775,135.9023,44.9817
septian,S1,R1,push,54262,0.4647,0.0446,0.3283,11.0796,123.5664,37.6367
septian,S1,R1,push,54272,0.4681,0.0445,0.3253,10.2545,105.243,29.8244
septian,S1,R1,push,54282,0.4715,0.0443,0.3224,9.6105,80.3003,22.4797
septian,S1,R1,push,54292,0.4746,0.0441,0.3195,9.2533,49.4631,16.1147
septian,S1,R1,push,54302,0.4774,0.0438,0.3166,9.1117,15.1474,10.4242
septian,S1,R1,push,54312,0.4799,0.0435,0.3137,9.0659,-18.9907,5.0816
septian,S1,R1,push,54322,0.4819,0.0431,0.3106,9.036,-49.3274,0.142
septian,S1,R1,push,54332,0.4835,0.0427,0.3074,8.9354,-73.1909,-4.4732
septian,S1,R1,push,54342,0.4848,0.0423,0.304,8.732,-89.7015,-8.6757
septian,S1,R1,push,54352,0.4861,0.042,0.3004,8.4557,-99.7654,-12.525
septian,S1,R1,push,54362,0.4873,0.0416,0.2971,8.1216,-105.1131,-16.795
septian,S1,R1,push,54372,0.4884,0.0412,0.2939,7.7126,-108.2203,-21.5195
septian,S1,R1,push,54382,0.4895,0.0409,0.2906,7.3836,-109.9501,-26.8353
septian,S1,R1,push,54392,0.4905,0.0407,0.2869,7.1364,-111.1368,-31.3524
septian,S1,R1,push,54402,0.4915,0.0404,0.2829,6.9628,-112.3192,-34.2819
septian,S1,R1,push,54412,0.4922,0.0402,0.2789,6.7706,-113.667,-35.4234
septian,S1,R1,push,54422,0.4926,0.04,0.2752,6.6551,-114.5388,-35.9072
septian,S1,R1,push,54432,0.4927,0.0398,0.2715,6.6275,-114.615,-36.7985
septian,S1,R1,push,54442,0.4927,0.0396,0.2675,6.6539,-113.9121,-37.8335
septian,S1,R1,push,54452,0.4926,0.0395,0.263,6.7295,-112.5648,-38.4953
septian,S1,R1,push,54462,0.4924,0.0394,0.2583,6.8703,-110.5935,-38.8341
septian,S1,R1,push,54472,0.4921,0.0393,0.2537,7.0986,-108.0423,-38.9787
septian,S1,R1,push,54482,0.4918,0.0391,0.2492,7.4259,-104.9677,-39.0689
septian,S1,R1,push,54492,0.4914,0.039,0.2448,7.8424,-101.4712,-39.3399
septian,S1,R1,push,54502,0.491,0.0389,0.2405,8.3225,-97.5237,-39.6784
septian,S1,R1,push,54512,0.4907,0.0387,0.2362,8.8705,-93.2013,-40.0462
septian,S1,R1,push,54522,0.4903,0.0385,0.2317,9.4712,-88.811,-40.6236
septian,S1,R1,push,54532,0.4899,0.0383,0.227,10.0832,-84.7367,-41.5897
septian,S1,R1,push,54542,0.4895,0.0382,0.2222,10.686,-81.273,-42.8959
septian,S1,R1,push,54552,0.489,0.0382,0.2175,11.3089,-78.3894,-44.2928
septian,S1,R1,push,54562,0.4883,0.0382,0.2128,12.0156,-75.6288,-45.2942
septian,S1,R1,push,54572,0.4875,0.0382,0.2083,12.8849,-72.6283,-45.2748
septian,S1,R1,push,54582,0.4868,0.0382,0.2037,13.8887,-69.3861,-44.4122
septian,S1,R1,push,54592,0.4862,0.0381,0.1991,15.0203,-65.8284,-42.9663
septian,S1,R1,push,54602,0.4856,0.0379,0.1946,16.3137,-62.3041,-41.1971
septian,S1,R1,push,54612,0.4852,0.0376,0.19,17.6562,-59.3678,-39.6681
septian,S1,R1,push,54622,0.4848,0.0372,0.1857,18.9567,-57.3707,-38.6435
septian,S1,R1,push,54632,0.4843,0.0369,0.1814,20.0426,-56.4478,-38.4552
septian,S1,R1,push,54642,0.4838,0.0366,0.177,20.7941,-56.2114,-38.9099
septian,S1,R1,push,54652,0.4832,0.0363,0.1728,21.2966,-56.3861,-39.4396
septian,S1,R1,push,54662,0.4825,0.036,0.1686,21.4571,-57.0146,-40.0769
septian,S1,R1,push,54672,0.4816,0.0357,0.1643,21.2047,-57.8989,-40.91
septian,S1,R1,push,54682,0.4805,0.0353,0.16,20.6724,-58.9631,-41.8378
septian,S1,R1,push,54692,0.4791,0.035,0.1557,19.9207,-60.1138,-42.9561
septian,S1,R1,push,54702,0.4776,0.0346,0.1513,19.0462,-61.2695,-44.2089
septian,S1,R1,push,54712,0.4759,0.0343,0.1469,18.0913,-62.2757,-45.6235
septian,S1,R1,push,54722,0.4742,0.0339,0.1426,17.0863,-63.1224,-47.1101
septian,S1,R1,push,54732,0.4725,0.0334,0.1384,15.9312,-63.9527,-48.8328
septian,S1,R1,push,54742,0.4705,0.033,0.134,14.4862,-64.8696,-50.9498
septian,S1,R1,push,54752,0.4683,0.0326,0.1297,12.6711,-65.76,-53.3735
