participant_id,session_id,repetition_id,label,timestamp_ms,ax,ay,az,gx,gy,gz
septian,S1,R1,rotate,61732,0.3111,-0.0407,-0.1796,189.5706,37.281,217.1208
septian,S1,R1,rotate,61742,0.3099,-0.0356,-0.1786,211.6838,55.9482,226.2626
septian,S1,R1,rotate,61752,0.3089,-0.0309,-0.178,224.0773,71.3204,232.0849
septian,S1,R1,rotate,61762,0.3079,-0.0268,-0.1772,231.3102,85.217,235.9553
septian,S1,R1,rotate,61772,0.307,-0.023,-0.1763,235.8052,98.6251,238.6417
septian,S1,R1,rotate,61806,0.3073,-0.0213,-0.1754,238.773,114.2143,236.0684
septian,S1,R1,rotate,61809,0.3075,-0.0196,-0.1746,240.8363,126.1432,234.12
septian,S1,R1,rotate,61811,0.3077,-0.0178,-0.1737,242.3332,134.8289,232.6127
septian,S1,R1,rotate,61813,0.3082,-0.0163,-0.173,243.4578,140.1916,229.9573
septian,S1,R1,rotate,61822,0.3086,-0.0148,-0.1723,244.3274,144.0004,227.7236
septian,S1,R1,rotate,61832,0.3092,-0.0135,-0.172,245.0161,145.5359,226.3058
septian,S1,R1,rotate,61842,0.3097,-0.0122,-0.1717,245.5727,145.2664,226.3564
septian,S1,R1,rotate,61852,0.3101,-0.0108,-0.171,246.0303,144.1908,227.8922
septian,S1,R1,rotate,61862,0.3106,-0.0098,-0.1707,246.4122,142.4536,230.0755
septian,S1,R1,rotate,61872,0.3113,-0.0094,-0.1703,246.7348,141.6289,232.0482
septian,S1,R1,rotate,61882,0.3122,-0.0097,-0.17,247.0106,141.3866,233.814
septian,S1,R1,rotate,61892,0.3132,-0.0107,-0.1693,247.2486,141.0394,235.3843
septian,S1,R1,rotate,61902,0.3146,-0.0122,-0.1684,247.4558,139.2993,236.7745
septian,S1,R1,rotate,61912,0.3158,-0.0138,-0.1675,247.0267,134.7126,238.0021
septian,S1,R1,rotate,61922,0.317,-0.0152,-0.1672,245.7276,127.7786,239.0852
septian,S1,R1,rotate,61932,0.3182,-0.0167,-0.1673,244.1023,119.9735,240.0408
septian,S1,R1,rotate,61942,0.3196,-0.0183,-0.1675,242.5562,114.323,240.8849
septian,S1,R1,rotate,61952,0.3215,-0.0208,-0.1674,241.7101,112.6805,241.6317
septian,S1,R1,rotate,61962,0.3239,-0.0243,-0.1673,241.0653,112.802,242.294
septian,S1,R1,rotate,61972,0.3266,-0.0286,-0.167,238.909,110.2766,242.8828
septian,S1,R1,rotate,61982,0.3287,-0.0328,-0.1669,233.9853,104.5521,241.4516
septian,S1,R1,rotate,61992,0.3308,-0.0364,-0.1672,224.6361,98.8816,236.6194
septian,S1,R1,rotate,62002,0.3331,-0.0394,-0.1674,209.2624,93.2254,227.6204
septian,S1,R1,rotate,62012,0.3354,-0.042,-0.1676,187.1201,85.2142,212.5679
septian,S1,R1,rotate,62022,0.3374,-0.0443,-0.168,159.4678,74.1897,191.4052
septian,S1,R1,rotate,62032,0.3391,-0.0463,-0.1685,129.4281,61.5335,163.8165
septian,S1,R1,rotate,62042,0.3408,-0.0482,-0.169,100.9834,49.9172,131.9169
septian,S1,R1,rotate,62052,0.3425,-0.0501,-0.1695,78.2255,41.678,100.9681
septian,S1,R1,rotate,62062,0.3443,-0.052,-0.1698,61.1269,36.5204,72.2687
septian,S1,R1,rotate,62072,0.3462,-0.0539,-0.1701,47.4514,32.3389,46.5854
septian,S1,R1,rotate,62082,0.3481,-0.0561,-0.1704,35.9507,27.7343,25.1424
septian,S1,R1,rotate,62092,0.3498,-0.0584,-0.1708,25.7608,22.7597,4.9948
septian,S1,R1,rotate,62102,0.3514,-0.0606,-0.1711,15.575,17.876,-15.3373
septian,S1,R1,rotate,62112,0.3529,-0.0627,-0.1715,4.6908,13.1542,-35.7002
septian,S1,R1,rotate,62122,0.3543,-0.0647,-0.1719,-6.6606,8.7405,-55.6318
septian,S1,R1,rotate,62132,0.3555,-0.0669,-0.1724,-18.3315,5.0658,-76.2866
septian,S1,R1,rotate,62142,0.3565,-0.0692,-0.1729,-30.4276,2.7174,-99.3898
septian,S1,R1,rotate,62152,0.3573,-0.0717,-0.1735,-43.7578,2.4665,-126.9973
septian,S1,R1,rotate,62162,0.3578,-0.074,-0.1739,-59.4622,4.5453,-160.9584
septian,S1,R1,rotate,62172,0.3582,-0.076,-0.1743,-77.4154,8.1248,-189.2455
septian,S1,R1,rotate,62182,0.3584,-0.0775,-0.1745,-96.8526,12.7167,-208.3914
septian,S1,R1,rotate,62192,0.3583,-0.0785,-0.1747,-116.7794,18.919,-220.5336
septian,S1,R1,rotate,62202,0.3582,-0.0788,-0.1747,-138.1278,26.622,-228.2341
septian,S1,R1,rotate,62212,0.3581,-0.0784,-0.1744,-160.2237,35.3347,-233.2708
