participant_id,session_id,repetition_id,label,timestamp_ms,ax,ay,az,gx,gy,gz
septian,S1,R1,wave,58092,0.3784,-0.0564,-0.5904,-4.1214,-73.787,-60.1817
septian,S1,R1,wave,58102,0.3799,-0.0562,-0.591,-4.9832,-76.8462,-64.9825
septian,S1,R1,wave,58112,0.3812,-0.056,-0.5918,-5.4516,-80.112,-69.4377
septian,S1,R1,wave,58122,0.3824,-0.0556,-0.5925,-5.3118,-83.1897,-72.6261
septian,S1,R1,wave,58132,0.3835,-0.0553,-0.5934,-4.4518,-86.0063,-74.0114
septian,S1,R1,wave,58142,0.3844,-0.055,-0.5944,-2.941,-88.75,-74.198
septian,S1,R1,wave,58152,0.3851,-0.0548,-0.5955,-0.8331,-91.7096,-73.7849
septian,S1,R1,wave,58162,0.3855,-0.0546,-0.5966,1.8218,-95.0001,-73.2897
septian,S1,R1,wave,58172,0.3857,-0.0545,-0.5977,5.0122,-98.5939,-72.9781
septian,S1,R1,wave,58206,0.3849,-0.0546,-0.5989,9.2551,-102.8139,-73.1875
septian,S1,R1,wave,58209,0.3842,-0.0546,-0.6001,13.7053,-106.6748,-73.3657
septian,S1,R1,wave,58211,0.3834,-0.0547,-0.6013,18.1851,-110.1196,-73.519
septian,S1,R1,wave,58213,0.3825,-0.0548,-0.6025,22.2939,-113.1913,-74.2753
septian,S1,R1,wave,58222,0.3815,-0.0549,-0.6038,26.1079,-115.8506,-74.965
septian,S1,R1,wave,58232,0.3802,-0.0549,-0.6051,29.238,-117.8918,-76.3704
septian,S1,R1,wave,58242,0.3787,-0.0548,-0.6065,31.5025,-118.6319,-78.4332
septian,S1,R1,wave,58252,0.3771,-0.0547,-0.6076,33.457,-117.9627,-80.8252
septian,S1,R1,wave,58262,0.3754,-0.0547,-0.6085,35.4293,-116.5407,-83.9875
septian,S1,R1,wave,58272,0.3737,-0.0546,-0.6094,37.3918,-115.0494,-88.1974
septian,S1,R1,wave,58282,0.3715,-0.0544,-0.6105,39.7035,-113.0409,-93.6389
septian,S1,R1,wave,58292,0.3694,-0.0542,-0.6117,42.9445,-110.0154,-100.088
septian,S1,R1,wave,58302,0.3673,-0.0539,-0.6128,47.2743,-106.4199,-106.4286
septian,S1,R1,wave,58312,0.3651,-0.0536,-0.6138,53.0723,-102.0417,-110.2502
septian,S1,R1,wave,58322,0.3629,-0.0534,-0.6148,60.5362,-96.6009,-110.5724
septian,S1,R1,wave,58332,0.3607,-0.0532,-0.6158,69.6556,-89.5779,-107.8595
septian,S1,R1,wave,58342,0.3587,-0.0532,-0.6167,80.0543,-80.5816,-102.1294
septian,S1,R1,wave,58352,0.3569,-0.0533,-0.6176,90.8786,-69.7106,-93.5965
septian,S1,R1,wave,58362,0.3552,-0.0535,-0.6183,100.8761,-57.5061,-83.104
septian,S1,R1,wave,58372,0.3536,-0.0538,-0.6189,109.0679,-44.7248,-72.2943
septian,S1,R1,wave,58382,0.3521,-0.0542,-0.6195,115.1271,-31.9687,-63.2747
septian,S1,R1,wave,58392,0.3509,-0.0547,-0.6199,119.1886,-19.4864,-57.704
septian,S1,R1,wave,58402,0.3501,-0.0551,-0.6205,121.5434,-7.8271,-55.0177
