participant_id,session_id,repetition_id,label,ax_mean,ax_std,ax_min,ax_max,ax_range,ax_rms,ay_mean,ay_std,ay_min,ay_max,ay_range,ay_rms,az_mean,az_std,az_min,az_max,az_range,az_rms,gx_mean,gx_std,gx_min,gx_max,gx_range,gx_rms,gy_mean,gy_std,gy_min,gy_max,gy_range,gy_rms,gz_mean,gz_std,gz_min,gz_max,gz_range,gz_rms
septian,S1,septian_seg1,idle,0.8825053333333335,0.06815098902355628,0.7536,0.9968,0.24319999999999997,0.8851328830557967,0.021930000000000005,0.011713142191572679,0.0068,0.0369,0.030100000000000002,0.024862071514658628,0.1951033333333333,0.09808166761542252,0.0696,0.3618,0.2922,0.21836969615768573,-12.550798000000002,44.44247107361526,-98.2493,36.2497,134.499,46.180686066427526,37.57278933333334,71.02522652707665,-131.6399,149.1629,280.80280000000005,80.35108774316375,-23.00335666666667,31.326742313189683,-111.8318,13.8027,125.6345,38.86539851707257
septian,S1,septian_seg1,idle,0.7595826666666667,0.07583119564459528,0.6424,0.8951,0.25270000000000004,0.7633584988282592,0.03698733333333333,0.004501026500205876,0.0245,0.0441,0.0196,0.03726019413082367,0.3551466666666667,0.08307827527231305,0.1937,0.4834,0.28969999999999996,0.3647343617849389,8.442260666666668,17.608483351418606,-74.6201,36.2497,110.8698,19.527684222690954,9.507722000000001,29.984751595998194,-5.6231,124.2284,129.8515,31.456034491063875,-2.748206666666667,16.547116694782677,-81.1207,13.8027,94.9234,16.77378045621996
septian,S1,septian_seg1,idle,0.6473226666666666,0.05416435746462387,0.5643,0.7519,0.1876,0.6495848000068967,0.04381933333333333,0.0035813534995709218,0.037,0.0496,0.0126,0.04396544173173592,0.4778673333333332,0.05945846112670219,0.3637,0.5693,0.2056,0.481552174604857,6.017306666666666,0.5933690949896944,5.2922,7.4287,2.1365,6.046492074219564,0.17349866666666666,0.4731498823821287,-0.932,1.0689,2.0009,0.5039569411500682,0.3136233333333333,1.4046064920547046,-1.5393,4.4842,6.0235,1.4391938690577213
septian,S1,septian_seg1,idle,0.567214,0.0388066558380561,0.5071,0.6411,0.134,0.5685399531548626,0.04908200000000001,0.0026880741557231387,0.0441,0.0534,0.009300000000000003,0.0491555537723528,0.5659513333333333,0.042895104206527916,0.4847,0.6327,0.14800000000000002,0.5675745780658843,5.861790666666668,0.7366500448513904,4.668,7.4287,2.7607,5.907896673808708,0.8760699999999999,0.485106977858149,-0.1276,1.5529,1.6804999999999999,1.0014127145521305,-0.6127873333333334,0.6660887747937374,-1.5393,0.5787,2.118,0.9050870520563201
septian,S1,septian_seg1,idle,0.5222433333333334,0.021571331025743917,0.4891,0.5635,0.07440000000000002,0.5226886468379941,0.055904,0.006744557114197096,0.0497,0.0704,0.020700000000000003,0.05630937991726305,0.6331126666666667,0.03555592270713215,0.5703,0.6904,0.12009999999999998,0.6341102998164699,28.21050466666667,46.23044402265148,4.668,136.908,132.23999999999998,54.157977510977396,-48.71827266666667,95.52916194823085,-248.5133,1.5529,250.06619999999998,107.23474658036452,7.854225333333332,18.311295788495094,-2.0742,81.3872,83.46140000000001,19.92466835459334
dafa,S1,dafa_seg2,idle,0.7042833333333334,0.04384471601256213,0.6349,0.7865,0.15159999999999996,0.7056467761800753,0.05290333333333332,0.0008661344519697205,0.0518,0.0545,0.002700000000000001,0.052910423043731815,0.2662386666666667,0.06506179707187792,0.1482,0.3724,0.2242,0.2740731016839607,5.295645333333333,5.084484925005832,-5.1153,15.1348,20.2501,7.341379056353558,0.24149,2.1243433485746444,-4.186,3.2044,7.3904,2.138025276448652,7.397887333333333,9.29738517458392,-3.2809,23.9593,27.240199999999998,11.881502770326096
dafa,S1,dafa_seg2,idle,0.6379360000000001,0.03302069912443809,0.5865,0.7003,0.11380000000000001,0.6387900333181997,0.052047333333333334,0.00032035327721473695,0.0515,0.0527,0.0011999999999999997,0.0520483192171787,0.37101266666666666,0.05600806762918674,0.2694,0.4614,0.192,0.37521634088438455,6.7211620000000005,3.7355226729454247,3.3341,22.9767,19.6426,7.689482965085061,0.5018606666666667,4.3071437194177244,-16.6891,3.6713,20.3604,4.336283102896611,1.3204320000000003,11.744178764263426,-28.1794,34.1604,62.339800000000004,11.818175642356987
dafa,S1,dafa_seg2,idle,0.5937260000000002,0.018718851211189932,0.5683,0.6343,0.06599999999999995,0.594021008438815,0.05280933333333334,0.0014515897798237933,0.0515,0.0559,0.004400000000000001,0.05282927976037531,0.45510866666666666,0.04125904011917334,0.3738,0.5174,0.14359999999999995,0.45697506153691436,8.138029999999999,12.103428854120914,-23.5807,23.3621,46.942800000000005,14.58494162853135,0.1935719999999998,27.613306682586014,-55.2567,63.9171,119.1738,27.613985153645125,-1.7686126666666675,14.917034705040171,-28.1794,34.1604,62.339800000000004,15.02151507525345
dafa,S1,dafa_seg2,idle,0.5661006666666666,0.014216330969072932,0.541,0.5859,0.04489999999999994,0.5662791439446333,0.05458733333333335,0.0014497492503494826,0.0516,0.0559,0.004299999999999998,0.05460658141042463,0.5201360000000002,0.033256971760319165,0.4624,0.5778,0.1154,0.5211981241971874,4.759734666666667,14.922939523579068,-24.0829,23.3621,47.445,15.663626595442917,3.596485999999999,31.53027177362739,-55.2567,63.9171,119.1738,31.73472466663292,-4.8689393333333335,13.76310896630504,-27.7722,22.261,50.0332,14.598963615615551
dafa,S1,dafa_seg2,idle,0.54712,0.009692141146310247,0.5387,0.5681,0.029400000000000093,0.5472058406121045,0.05687466666666666,0.0021346720799431678,0.0548,0.0623,0.0075,0.05691471280199289,0.5715560000000001,0.02532284997125456,0.5185,0.6004,0.08190000000000008,0.57211669077791,6.710749333333333,11.231869664466652,-24.0829,18.3665,42.4494,13.083923447284457,-10.417354666666665,25.571563601022614,-43.242,61.3341,104.5761,27.61206517543131,-11.952644666666666,13.869491123154864,-29.2454,22.261,51.5064,18.309246258185144
dzaki,S1,dzaki_seg3,idle,0.4021406666666667,0.006949005652289798,0.391,0.4157,0.0247,0.40220070172324,0.01888066666666667,0.003661851929769356,0.0068,0.022,0.015199999999999998,0.019232491604920392,-0.23371200000000003,0.1736006382169528,-0.5511,0.0494,0.6005,0.29113309762603995,4.312347333333333,34.53029080351472,-99.2421,55.482,154.7241,34.79852471727214,17.091493333333336,46.42665210673379,-53.0726,127.0519,180.1245,49.47275179533747,5.736003999999999,57.17261633261723,-117.3246,111.5613,228.8859,57.45963626933838
dzaki,S1,dzaki_seg3,idle,0.3908673333333334,0.00778632559184512,0.3788,0.4041,0.02529999999999999,0.39094487991702015,0.02202866666666667,0.001120615108867546,0.0205,0.0238,0.003300000000000001,0.022057151523561087,0.04129133333333334,0.14345837813882542,-0.2234,0.2663,0.48969999999999997,0.14928255245227642,8.647990666666667,5.2813463553068445,1.3188,20.9229,19.6041,10.133131889769652,3.0858666666666665,6.460950563765538,-9.3274,14.693,24.020400000000002,7.160059725439912,11.516078,23.027520565198703,-13.2425,104.136,117.3785,25.746587266718155
